,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715,"(10832, 9230)",0.0006008860000008553,0.0007954940000161059,287,477,0.0005920539999806351,0.0005152699999939614,0.000565227000009827,0.0023932960000081493,0.0006145159999846328,0.0004262350000203696
1,8771,"(15773, 8337)",0.00030146700001409954,0.00021830999997973777,76,125,0.00023661299999844232,0.00020609300000273834,0.0002031980000083422,0.0016702329999986887,0.00033861299999671246,0.00031106999998087304
2,2856,"(15910, 12094)",0.0003157630000032441,0.00028480800000352247,113,189,0.00035281899999972666,0.0003854990000036196,0.00029356000001712346,0.0021799160000171014,0.00034619600000951323,0.0003150309999853107
3,13344,"(12030, 5184)",0.0005941259999815429,0.0005211200000019289,274,445,0.0005968460000076448,0.0005449069999770018,0.0004918520000103399,0.0016064939999864691,0.00019790100000705024,0.00011944900001026326
4,8734,"(14983, 16287)",0.00034345699998539203,0.00016242099999885795,97,157,0.00015510600002244246,0.0001349350000054983,0.00013157200001501224,0.0009562420000008842,0.00025259599999571947,0.00025625200001400117
5,3529,"(2127, 4354)",0.0004954439999949045,0.00021843800001875024,186,301,0.0002230689999862534,0.00020448800000849587,0.00021296700001016688,0.0011013750000188338,0.0003805209999825365,0.0002453540000146859
6,1250,"(4727, 14250)",0.0005702040000130637,0.0003082359999950768,330,525,0.00031475800000180243,0.00029601900001807735,0.0002941380000152094,0.0013338320000002568,0.00031803599998170284,0.00037663099999463157
7,12423,"(1621, 11816)",0.00013465000000678629,5.556799999340001e-05,28,41,6.638499999667147e-05,4.728899997985536e-05,4.5106999976951556e-05,0.0005251320000070336,0.00020958300001439056,0.0002017209999962688
8,10885,"(12890, 16155)",0.00017169800000260693,7.695100001114952e-05,58,89,8.30649999841171e-05,6.718800000271585e-05,6.790500000875e-05,0.0006795360000069195,0.0002016489999903115,0.00015660799999750452
9,11167,"(6912, 6854)",0.0004439869999828261,0.00025396300000579686,235,381,0.0003062489999763329,0.00023110399999382025,0.0002269679999926666,0.001231837000005953,0.0005553359999908025,0.0005733790000022054
10,1700,"(10765, 824)",0.0003045089999886841,0.0001557860000218625,118,189,0.00016165299999215677,0.0001424659999997857,0.00013977300000078685,0.0011126500000102624,0.0006070150000141439,0.00073521100000562
11,5231,"(6865, 7480)",0.00029602899999758847,0.00014582800000084717,106,173,0.00014958699998146585,0.000132225000015751,0.00013118200001827063,0.0009086820000163698,0.0004660760000092523,0.0004366290000064055
12,4425,"(5608, 4160)",0.00036980599998059915,0.00019731699998715158,173,285,0.0002067810000028203,0.00018775499998469058,0.00018616900001688919,0.001125051000002486,0.0003240989999824251,0.0004449649999855865
13,11049,"(8588, 8110)",0.00023014699999635013,0.00010689699999488766,60,93,0.00011356300001352793,9.560800000940617e-05,9.353999999461848e-05,0.0008075579999911042,0.00045990600000322956,0.0003861000000142667
14,10937,"(14267, 4482)",0.0002514120000114417,0.00015043799999148177,126,201,0.00013442300001997864,0.00011810499998432533,0.000118618000016113,0.0006310840000196549,0.00043884100000468607,0.0003537180000137141
