,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.VERTEX_COUNT,ET.AREA,ET.LENGTH
0,0.006073212996852817,0.0053960039986122865,5761506.0,5761506.0,0.20173269400038407,0.1683407820019056,0.1594729560019914,1.8569990061223507e-06,6.28999259788543e-07
1,0.0037884119992668275,0.004288590000214754,5761506.0,5761506.0,0.20443141199939419,0.16658251999979257,0.15681920600036392,1.0799994925037026e-06,4.199973773211241e-07
2,0.00401438700282597,0.004491293002502061,5761506.0,5761506.0,0.17087212600017665,0.1609926599994651,0.15455357099926914,9.450013749301434e-07,4.5599881559610367e-07
3,0.004190745999949286,0.003975450003053993,5761506.0,5761506.0,0.16844425900126225,0.16140399199866806,0.15509651200045482,1.0440016922075301e-06,5.179972504265606e-07
4,0.0039232419985637534,0.0035960490022262093,5761506.0,5761506.0,0.16617483499794616,0.1590963369999372,0.2047057819982001,1.1969968909397721e-06,4.6499917516484857e-07
5,0.0037907260011706967,0.004094005998922512,5761506.0,5761506.0,0.16228022500217776,0.15280345299834153,0.19824886499918648,1.329000951955095e-06,4.210014594718814e-07
6,0.0046443100000033155,0.0036715339992952067,5761506.0,5761506.0,0.1589556770013587,0.1559194440014835,0.20042518300033407,8.989991329144686e-07,5.920010153204203e-07
7,0.0038224939999054186,0.003692309997859411,5761506.0,5761506.0,0.15773045599780744,0.2056463970002369,0.17036371799986227,1.1539996194187552e-06,4.260000423528254e-07
8,0.004270966001058696,0.003993184000137262,5761506.0,5761506.0,0.1586579430004349,0.2015240309992805,0.1690534569970623,9.010000212583691e-07,4.119974619243294e-07
9,0.0045647719998669345,0.0036453559987421613,5761506.0,5761506.0,0.15158680199965602,0.20074432299952605,0.16984189599679667,8.120005077216774e-07,4.780013114213943e-07
mean,0.004308326799946372,0.004084377600156586,5761506.0,5761506.0,0.17008664290005981,0.1733053938998637,0.17385811459935213,1.1217998689971864e-06,4.816993168788031e-07
