,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715.0,"(10832, 9230)",4.233499999983792e-05,0.00018378499999993636,477.0,675.0,9.145799999998871e-05,6.207399999968999e-05,4.8327999999209226e-05,4.750199999925542e-05,0.00023955599999947452,0.0005059929999999824
1,8771.0,"(15773, 8337)",2.066500000008631e-05,3.351599999934507e-05,125.0,169.0,5.0352999999780934e-05,5.2324999999520116e-05,2.9109999999832326e-05,4.059900000008554e-05,8.691499999979868e-05,6.454599999994315e-05
2,2856.0,"(15910, 12094)",1.9538999999735296e-05,3.2466999999591906e-05,189.0,261.0,2.4035000000033335e-05,1.694200000024182e-05,4.240699999957798e-05,2.4572000000055993e-05,6.82730000001186e-05,6.152799999981085e-05
3,13344.0,"(12030, 5184)",2.0598999999954515e-05,2.8544999999269294e-05,445.0,618.0,2.4501000000398676e-05,1.6526999999655345e-05,1.993299999991649e-05,4.677600000047022e-05,6.119599999987457e-05,5.517099999963193e-05
4,8734.0,"(14983, 16287)",1.9328999999679297e-05,2.446699999936186e-05,157.0,216.0,8.232199999991252e-05,1.8571000000022764e-05,2.4654000000623455e-05,3.634100000038387e-05,8.89489999993387e-05,6.718200000044305e-05
5,3529.0,"(2127, 4354)",1.9809999999953476e-05,9.664800000042106e-05,301.0,420.0,2.7664000000093836e-05,1.765900000005871e-05,2.185899999940233e-05,2.3183999999787375e-05,6.837799999992455e-05,6.411599999989193e-05
6,1250.0,"(4727, 14250)",2.1196999999695265e-05,2.9130999999793517e-05,525.0,738.0,2.2760000000232594e-05,1.6276000000203794e-05,1.8113999999513908e-05,2.2783000000359266e-05,7.453000000001708e-05,6.868599999965141e-05
7,12423.0,"(1621, 11816)",2.0033999999835572e-05,3.3315999999672385e-05,41.0,57.0,2.7509000000591755e-05,2.030300000033236e-05,2.3804000000460235e-05,3.409699999945559e-05,6.512099999955723e-05,6.0388999999716475e-05
8,10885.0,"(12890, 16155)",1.9191000000251535e-05,2.2569999999610957e-05,89.0,122.0,2.1661999999977866e-05,3.6904999999975985e-05,2.5155000000331995e-05,2.7775000000396233e-05,6.42259999992234e-05,5.918799999982127e-05
9,11167.0,"(6912, 6854)",2.1385000000151422e-05,4.955100000003654e-05,381.0,537.0,5.890699999966387e-05,5.807000000057627e-05,1.780899999914709e-05,2.479399999977261e-05,7.364699999978797e-05,6.860299999988939e-05
