,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715,"(10832, 9230)",0.00031553500002701185,9.055400005308911e-05,379,675,9.612799999558774e-05,2.004999942073482e-06,7.551299995611771e-05,0.00017628499995225866,0.000392336000004434,0.00042068200002631784
1,8771,"(15773, 8337)",0.0001828709999927014,5.356100007247733e-05,173,169,0.00014833600005204062,2.295999934176507e-06,7.67600000699531e-05,0.00015443699999195815,0.00012868800001797354,0.00017593699999451928
2,2856,"(15910, 12094)",0.0001337759999842092,5.636599996705627e-05,224,261,6.483100003151776e-05,1.8419999605612247e-06,5.875900001228729e-05,0.00014045199998236058,0.00016202100005102693,8.91470000397021e-05
3,13344,"(12030, 5184)",0.00015636900002391485,5.495000004884787e-05,431,618,6.441599998652237e-05,1.663999910306302e-06,5.995200001507328e-05,0.00015836600005059154,0.00010128299993539258,7.879399993271363e-05
4,8734,"(14983, 16287)",0.00013057099999969068,5.095999995319289e-05,197,216,6.19300000153089e-05,1.6960000266408315e-06,5.834700004925253e-05,0.0001354359999368171,0.00012078200006726547,0.00013059100001555635
5,3529,"(2127, 4354)",0.00015661999998428655,5.1365999979680055e-05,314,420,6.252100001802319e-05,1.5729999631730607e-06,5.684200004907325e-05,0.00014705399996728374,8.32020000416378e-05,7.765999998810003e-05
6,1250,"(4727, 14250)",0.00025709699991693924,7.42390000141313e-05,479,738,8.327099999405618e-05,1.936999979079701e-06,7.175500002176705e-05,0.0001856119999956718,8.439399994131236e-05,7.82839999828866e-05
7,12423,"(1621, 11816)",0.00012640800002827746,5.396399990331702e-05,97,57,0.00010716700001012214,2.409999979136046e-06,0.00011637700004030194,0.00019870300002367003,8.333799996762536e-05,7.706999997481034e-05
8,10885,"(12890, 16155)",0.0001162880000720179,0.0001232309999750214,137,122,0.0001218219999827852,2.441999981783738e-06,8.249400002569018e-05,0.00018606200001158868,7.951600002797932e-05,7.541999991644843e-05
9,11167,"(6912, 6854)",0.00014709100003074127,6.665000000793952e-05,384,537,7.469699994544499e-05,1.98499992620782e-06,6.559400003425253e-05,0.0001706379999859564,8.317900005749834e-05,7.8561999998783e-05
10,1700,"(10765, 824)",0.00012800499996501458,5.403800003023207e-05,225,260,6.953399997655652e-05,1.9000000293090125e-06,6.107900003371469e-05,0.00014525200003845384,8.44769999730488e-05,7.85560000622354e-05
11,5231,"(6865, 7480)",0.0001273750000336804,5.2572000072359515e-05,210,239,6.773700010853645e-05,1.7380000372213544e-06,6.0322000081214355e-05,0.00014152699998248863,8.317199990415247e-05,7.94420000147511e-05
12,4425,"(5608, 4160)",0.00014289000000644592,5.3496000077757344e-05,308,399,6.928600009814545e-05,2.1619999870381434e-06,6.117299994912173e-05,0.00015588999997362407,8.159100002558262e-05,7.856599995648139e-05
13,11049,"(8588, 8110)",0.00015436399996815453,5.353200003810343e-05,146,123,6.566899992321851e-05,1.7610000213608146e-06,6.030500003362249e-05,0.00013696999997137027,8.322200005750346e-05,8.015000003069872e-05
14,10937,"(14267, 4482)",0.00019666599996526202,5.322799995610694e-05,238,282,6.92070000241074e-05,1.9029999975828105e-06,6.19290000258843e-05,0.00015458899997611297,8.819599997877958e-05,8.318999994116894e-05
15,8033,"(12533, 12403)",0.00014152500000363943,5.671700000675628e-05,97,56,6.451299998389004e-05,1.81100006102497e-06,5.932700003086211e-05,0.00013283900000260473,8.413499995185703e-05,0.00010542799998347618
16,5366,"(6238, 179)",0.0001381439999477152,5.3646999958800734e-05,146,124,6.53069999998479e-05,1.7019999631884275e-06,5.998999995426857e-05,0.0001383119999900373,0.00011190099996838399,0.0001166569999213607
17,54,"(2092, 7438)",0.00018985600001997227,5.2515999982460926e-05,112,80,6.356800008688879e-05,1.7050000451490632e-06,5.890300008104532e-05,0.00013320599998678517,0.0001105689999576498,0.00011638099999800033
18,14295,"(5243, 8089)",0.0001861030000327446,5.1800999926854274e-05,108,79,6.366399998114503e-05,1.7730000081428443e-06,6.003099997542449e-05,0.0001354580000452188,0.0001862229999005649,0.00019738699995741626
19,2870,"(1760, 16332)",0.00022495799998978327,5.736399998568231e-05,255,308,6.874500002140849e-05,1.7580000530870166e-06,6.261900000481546e-05,0.00015953800004808727,0.0001077169999916805,0.0002123760000358743
20,12373,"(11184, 11058)",0.00038635300006717443,5.643200006488769e-05,372,513,7.016300003215292e-05,1.8939999790745787e-06,8.575899994411884e-05,0.00018560099999831436,0.00010749199998372205,9.310600000844715e-05
21,2289,"(6677, 12833)",0.00019716199994945782,5.563399997754459e-05,145,125,0.00016433099995083467,2.22499988922209e-06,8.152000009431504e-05,0.00014897899995958142,9.691000002476358e-05,8.932599996569479e-05
22,216,"(13019, 2113)",0.0001445819999617015,5.571200006215804e-05,122,102,0.0001000820000172098,1.7970000953937415e-06,6.417299994154746e-05,0.00013837799997418188,8.973299998160655e-05,8.723600001303566e-05
23,10336,"(10190, 12460)",0.00023685300004672172,5.49650000039037e-05,172,169,6.644600000527134e-05,1.7539999817017815e-06,6.0963999999330554e-05,0.00014089399996919383,0.00021713000001000182,0.0001950990000523234
24,14690,"(5935, 13874)",0.00035226399995735846,5.18370000008872e-05,113,79,6.32329999916692e-05,1.570999984323862e-06,5.783799997516326e-05,0.00012998600004721084,0.0001284930000338136,0.00010771800009479193
25,3343,"(5726, 10724)",0.00027045799993175024,7.836500003577385e-05,97,57,0.0001550239999232872,2.4000000848900527e-06,8.230699995692703e-05,0.00013557500005845213,0.00014096699999299744,0.0001111739999259953
26,1438,"(7387, 11723)",0.00019379200000457786,5.531299996164307e-05,146,125,6.545899998400273e-05,1.8039999076790991e-06,5.9902000089095964e-05,0.0001351490000160993,0.00010012099994582968,9.544299996377958e-05
27,3039,"(1225, 6065)",0.0002541999999721156,5.186999999295949e-05,95,56,6.253999993077741e-05,1.6180000557142193e-06,5.710699997507618e-05,0.00012587499998062412,9.837799996148533e-05,9.220200001891499e-05
28,4658,"(14333, 11195)",0.0002928659999952288,5.1684000027307775e-05,196,216,6.372799998644041e-05,1.6430000187028782e-06,5.8351000006950926e-05,0.0001403200000140714,0.00012031799997203052,9.522200002720638e-05
29,4136,"(15010, 3599)",0.00023284300004888792,5.205600007229805e-05,213,239,6.381500008956209e-05,1.6039999763961532e-06,5.839200002810685e-05,0.00014217000000371627,0.00016040700006669795,0.00015221600006043445
30,695,"(604, 16308)",0.0002458950000345794,5.094599998756166e-05,183,193,6.263699992814509e-05,1.7410000054951524e-06,5.734399996981665e-05,0.00013755800000581075,9.910599999329861e-05,8.710099996278586e-05
