,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715,"(10832, 9230)",0.0002692510000006365,0.0006818649999988935,246,675,0.00030515599999958454,2.0010000003622963e-06,0.00013225899999902424,0.0006588779999994188,0.0002638749999999135,0.0004945819999999657
1,8771,"(15773, 8337)",0.00011409500000070238,8.675700000004838e-05,158,169,8.66489999999942e-05,1.8199999995971439e-06,8.001099999965788e-05,0.00025843999999963785,0.00012060200000085786,9.859000000034257e-05
2,2856,"(15910, 12094)",0.00010428000000040072,8.387799999987067e-05,179,261,8.689500000080841e-05,1.8309999987309311e-06,8.009299999933717e-05,0.0002568000000007231,0.00010492299999853572,9.433600000008369e-05
3,13344,"(12030, 5184)",0.00010888999999991711,9.247400000056416e-05,258,618,9.982699999966371e-05,1.9030000011355241e-06,9.144799999916131e-05,0.0002900340000007162,9.00470000004816e-05,8.333299999918609e-05
4,8734,"(14983, 16287)",9.755099999964045e-05,7.712500000067735e-05,167,216,0.00019494299999855969,1.96499999916e-06,0.00012156599999890716,0.00020714000000054966,0.00010809900000019468,9.517700000039042e-05
5,3529,"(2127, 4354)",0.00010230100000008235,9.113099999957797e-05,212,420,0.000154217999998707,2.3449999986269177e-06,0.00025613300000060235,0.00027526200000060896,9.939499999944701e-05,9.409599999976592e-05
6,1250,"(4727, 14250)",0.00011021199999916576,8.47450000005523e-05,277,738,9.879999999995448e-05,1.81800000120802e-06,9.086700000082715e-05,0.0001879010000003234,0.00010512500000103842,0.0001090270000005944
7,12423,"(1621, 11816)",9.025600000001077e-05,7.36410000001797e-05,106,57,7.712299999873551e-05,1.8280000002590668e-06,6.798999999979571e-05,0.0001351979999988373,0.00010054300000028604,9.099799999923164e-05
8,10885,"(12890, 16155)",9.19719999998847e-05,6.893199999957744e-05,130,122,8.314199999936989e-05,1.6480000013530116e-06,7.606700000017952e-05,0.00014857499999898494,9.295099999917511e-05,9.112399999899878e-05
9,11167,"(6912, 6854)",0.00012530299999902184,7.335699999977408e-05,257,537,9.357199999904253e-05,1.6859999991680752e-06,8.752400000133775e-05,0.00016842500000002758,0.00010457699999832926,0.00010379299999918601
