,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715,"(10832, 9230)",0.00015340900000637703,0.0003392560000179401,153,609,9.732099999837374e-05,7.313099996508754e-05,9.576799999422292e-05,0.0001223849999973936,0.0006507560000272861,0.00035738499997250983
1,8771,"(15773, 8337)",9.29179999502594e-05,5.386899999848538e-05,95,153,6.469200002356956e-05,5.4602000034265075e-05,5.515500004094065e-05,9.278400000312104e-05,0.000524488999985806,0.00010740900000882903
2,2856,"(15910, 12094)",9.604500002069472e-05,5.433100000118429e-05,114,239,6.609700000126395e-05,5.6973999960518995e-05,5.7632000050489296e-05,9.742899999309884e-05,0.00010133600000017395,9.280199998329408e-05
3,13344,"(12030, 5184)",0.0001259379999964949,6.001999997806706e-05,178,563,7.242200001655874e-05,6.33310000353049e-05,6.338200000755023e-05,0.0001322679999589127,9.011500003452966e-05,8.416200000738172e-05
4,8734,"(14983, 16287)",6.964899995409723e-05,5.460800002765609e-05,101,194,6.716800004369361e-05,5.793799999764815e-05,5.8787000000393164e-05,9.791099995482e-05,0.00010011699998813128,9.48819999848638e-05
5,3529,"(2127, 4354)",0.00010569700003770777,5.852700002151323e-05,139,385,7.136499999660373e-05,8.16589999885764e-05,6.309700000883822e-05,0.00011017699995363728,9.381900002836119e-05,8.871099998941645e-05
6,1250,"(4727, 14250)",8.5808999983783e-05,6.268500004580346e-05,194,669,8.567700001549383e-05,6.803499996976825e-05,6.783300000279269e-05,0.00012142499997480627,0.00010303599998451318,9.793699996407668e-05
7,12423,"(1621, 11816)",6.451500001958266e-05,5.1022999969063676e-05,62,53,9.150399995405678e-05,5.8567999985825736e-05,5.423999999720763e-05,8.709799999451207e-05,0.00015608300003577824,0.00015411999999059844
8,10885,"(12890, 16155)",6.662099997356563e-05,5.304400002614784e-05,88,116,6.436500001427703e-05,5.5263000035665755e-05,5.658899999616551e-05,0.00012071099996546764,0.00014529499998161555,9.453799998482282e-05
9,11167,"(6912, 6854)",8.044300000165094e-05,0.00012418900001875954,167,486,8.626800001820811e-05,7.214600003635496e-05,7.443099997317404e-05,0.00012658700001111356,0.00022126200002503538,0.0002715630000125202
10,1700,"(10765, 824)",7.245799997690483e-05,5.927799998062255e-05,118,240,7.110299998203118e-05,6.0893000011219556e-05,6.246899999950983e-05,0.00010892699998521493,0.00019853099996680612,0.00020734099996388977
11,5231,"(6865, 7480)",7.042100003218366e-05,5.711399995789179e-05,107,217,9.235100003479602e-05,6.99120000149378e-05,0.00045940100000052553,0.00018533400003661882,0.00011607599998342266,9.587799996779722e-05
12,4425,"(5608, 4160)",7.60679999984859e-05,0.0001596920000110913,141,363,0.0006487040000138222,8.34850000046572e-05,7.656600001837433e-05,0.00013642699997262753,0.00014096499995730483,0.0001420340000208853
13,11049,"(8588, 8110)",6.57950000118035e-05,5.996599998070451e-05,82,115,0.00010294300000168732,0.0013487730000179,0.00011199499999747786,0.0001323719999959394,9.381000000985296e-05,8.905099997491561e-05
14,10937,"(14267, 4482)",6.988899997395492e-05,7.031899997400615e-05,126,261,0.00014553299996578062,7.979499997645689e-05,7.588400001168338e-05,0.00012676399995825705,0.0001524510000194823,9.690500002079716e-05
15,8033,"(12533, 12403)",5.9720999956880405e-05,9.363000003759225e-05,63,53,0.003458743000010145,0.00010676400000875219,7.956199999625824e-05,0.0001224249999722815,8.927300001460026e-05,8.631200000763783e-05
16,5366,"(6238, 179)",6.313599999430153e-05,6.299700004319675e-05,84,115,8.201600002166742e-05,6.595299998934934e-05,6.518800000776537e-05,0.00011117000002514033,9.149900000693378e-05,8.72140000183208e-05
17,54,"(2092, 7438)",6.178699999281889e-05,5.6415000017295824e-05,71,73,0.00010383400001501286,0.00011137100000269129,0.00011163400000668844,0.0005234660000041913,8.845500002507833e-05,8.417100002588995e-05
18,14295,"(5243, 8089)",6.0051999980714754e-05,6.604899999729241e-05,63,74,0.00010688599996910852,6.918200000427532e-05,6.826200001341931e-05,0.0001037050000149975,9.894700002632817e-05,0.00013561000002937362
19,2870,"(1760, 16332)",7.228999999142616e-05,6.615300003431912e-05,125,282,0.00017512099998384656,8.49649999850044e-05,7.827299998552917e-05,0.00013080000002219094,9.12589999870761e-05,8.60269999520824e-05
20,12373,"(11184, 11058)",9.534700001267993e-05,7.091399999126224e-05,171,467,0.0004398300000048039,0.00011472200003481703,8.762099997738915e-05,0.0001555119999920862,8.939600002122461e-05,8.399699999017685e-05
21,2289,"(6677, 12833)",6.342799997582915e-05,7.443800001283307e-05,80,114,0.000966690000041126,0.00037736899997753426,0.00020095200000014302,0.00020754499996655795,9.998900003438393e-05,9.516099999018479e-05
22,216,"(13019, 2113)",6.128900002977389e-05,9.284899999784102e-05,78,95,0.001746018999995158,0.0001029300000254807,7.477899998775683e-05,0.0016548869999724047,0.00011955100001159735,9.622100003525702e-05
23,10336,"(10190, 12460)",6.557599999723607e-05,9.335700002566227e-05,93,156,0.00010209300000951771,7.784400003174596e-05,7.563100001561907e-05,0.00013185299997076072,9.987299995373178e-05,9.34429999688291e-05
24,14690,"(5935, 13874)",6.0688999951707956e-05,7.701199996290597e-05,69,74,0.00013751799997407943,0.00012665299999525814,7.942899998170105e-05,0.00011544900002036229,0.00011441300000569754,0.00010767600002736799
25,3343,"(5726, 10724)",8.312100004559397e-05,5.907499996737897e-05,61,52,0.00046627000000398766,0.00018532100000356877,8.701600000904364e-05,0.00011754500002325585,9.296899997934815e-05,9.045800004514604e-05
26,1438,"(7387, 11723)",0.00011652400002049035,6.317999998373125e-05,84,115,0.00015281899999308735,7.813899998154739e-05,7.103399997276938e-05,0.00011487000000443004,9.471599997823432e-05,9.703000000627071e-05
27,3039,"(1225, 6065)",6.666399997357075e-05,6.4780000002429e-05,60,52,0.000330500000018219,0.0001273680000508648,0.00015679699998827346,0.00027090700001508594,0.00021693399997957385,0.0001451069999802712
28,4658,"(14333, 11195)",0.00011809699998366341,0.00018831799997087728,104,195,0.00010134400002925759,7.864200000540222e-05,7.565900000372494e-05,0.00016211399997700937,0.00018426299999418916,0.0001973210000301151
29,4136,"(15010, 3599)",0.00010789800001020922,9.852299996282454e-05,107,218,0.0001319539999826702,0.00017417300000488467,0.0002953039999624707,0.00037184999996497936,0.00017417399999430927,0.00016843000003063935
30,695,"(604, 16308)",6.988699999510573e-05,0.00012708000002703557,103,175,0.0001785499999868989,9.167100000695427e-05,9.491200000866229e-05,0.0002540070000236483,0.00010284400002547045,9.327800000846764e-05
31,9561,"(603, 1868)",8.968700001332763e-05,9.427700001651829e-05,62,53,8.59849999983453e-05,6.823200004646424e-05,6.898100002672436e-05,0.00011497399998461333,9.567900002593888e-05,8.998599997767087e-05
32,14111,"(13153, 2054)",7.782900001984672e-05,5.989499999259351e-05,71,72,7.74380000052588e-05,6.582100002106017e-05,7.09679999886248e-05,0.00011091500005022681,0.0001671530000066923,9.405099996229183e-05
33,15627,"(5364, 3126)",0.00011440800000173112,5.893600001627419e-05,61,52,7.302599999547965e-05,6.226199997172444e-05,6.396699996003008e-05,0.0001204509999865877,9.323400001903792e-05,8.900500000663669e-05
34,8694,"(4336, 11003)",0.00011009000002104585,6.522299997868686e-05,98,176,7.816999999477048e-05,6.641999999601467e-05,6.776000003583249e-05,0.00011413799995807494,0.0003456960000107756,0.00026964299996734553
35,15377,"(6238, 8372)",0.00010220500001878463,5.611299997099195e-05,62,53,0.00012337900000147783,0.00017910499997242368,8.979699998690194e-05,0.00017531800000369913,0.0001785400000358095,9.992899998678695e-05
36,1204,"(7931, 6217)",0.00010143100001869243,0.00013374899998552792,82,94,8.611900000232708e-05,7.02270000374483e-05,7.003199999644494e-05,0.00011471199997004078,9.54740000338461e-05,8.995599995387238e-05
37,9997,"(8070, 14495)",0.00010505599999532933,6.276300001673008e-05,84,115,7.834199999479097e-05,6.80169999895952e-05,6.783399999221729e-05,0.00011254800000415344,0.00015897299999778625,0.00013994800002592456
38,11254,"(754, 1187)",0.00013983600001665764,6.546299999854455e-05,96,153,8.094300000038857e-05,6.954999997788036e-05,7.104899998466863e-05,0.00011875000001282388,0.00029602199998635115,0.0002898840000398195
39,15825,"(2294, 7122)",0.00014796000004935195,0.00013203499997871404,73,74,9.153600001354789e-05,7.415899995066866e-05,0.0010325130000410354,0.00015546200000926547,0.00014135100002476975,9.952099998145059e-05
40,6778,"(15630, 10799)",0.0001121509999961745,9.482000001526103e-05,110,220,0.00041078099997093886,0.00012233400002514827,0.00012057600002890467,0.0002014730000041709,0.00013770200001772537,0.0003264329999979054
41,10330,"(4518, 5399)",9.503000001132023e-05,9.278200002427184e-05,60,52,0.00013924199998882614,7.646799997473863e-05,7.698600001049272e-05,0.0002054839999914293,0.00017564399996672364,9.3619999972816e-05
42,411,"(16311, 15688)",0.00010133099999620754,8.61930000155553e-05,101,157,9.637200002998725e-05,7.885600001600324e-05,7.784999996829356e-05,0.00016272500005243273,0.0001873749999958818,0.00014458300000796953
43,13049,"(7794, 3767)",0.00010469000000057349,9.209000000964807e-05,119,237,0.00010988000002498666,0.00016148000003113339,0.0001072260000114511,0.0001468240000122023,0.00010379700000839875,9.413899999799469e-05
44,14233,"(13855, 3569)",9.805600001300263e-05,6.962000003341018e-05,78,115,0.00013811100001248633,0.00010711200002333499,0.00010285700000167708,0.0003339400000186288,0.0001042019999886179,0.00025065500000209795
45,15929,"(15118, 2082)",0.0001224519999709628,0.00011228999994727928,115,239,0.00015613699997629737,0.0001396919999478996,0.00013700699997798438,0.0002194710000367195,0.00010208499998043408,8.915799998021612e-05
46,13746,"(11502, 2368)",0.00012054199999056436,0.0001186520000260316,134,361,0.0003027790000373898,0.00019966000002114015,0.000152974999991784,0.00026321100000359365,8.931500002518078e-05,0.0001314490000368096
47,12272,"(4675, 14781)",0.00016133899998749257,8.589399999436864e-05,74,113,8.6443999975927e-05,7.376299998895774e-05,7.195799997816721e-05,0.00012240099999871745,9.785700001430087e-05,8.972599999879094e-05
48,1043,"(7568, 4584)",0.0001090160000103424,7.263200001261794e-05,134,299,8.571900002607435e-05,7.34650000140391e-05,7.437399995069427e-05,0.00012817200001791207,9.976699999469929e-05,9.556499998097934e-05
49,5946,"(8161, 7306)",0.0001166480000165393,6.621599999334649e-05,71,73,7.805499996038634e-05,8.071800004927354e-05,6.45640000129788e-05,0.00010555699998349155,9.52379999716868e-05,8.934400000271125e-05
50,2706,"(8036, 5376)",0.0001015610000081324,6.554800000913019e-05,111,238,8.378199999015123e-05,6.986300002154167e-05,7.061200000180179e-05,0.00011930499999834865,9.316699998862532e-05,8.763699997871299e-05
51,15954,"(2789, 8708)",0.00010765600001150233,6.662300000925825e-05,99,195,8.151100001896339e-05,6.878400000687179e-05,7.012099996472898e-05,0.00011873099998638281,9.448599996630946e-05,0.00013347999998813975
52,8581,"(10041, 3112)",0.0001049040000111745,6.066999998211031e-05,83,113,7.539399996403517e-05,6.55909999522919e-05,6.718899999214045e-05,0.00011024399998404988,0.00016972400004533483,8.770800002366741e-05
53,5574,"(7935, 7700)",9.684200000492638e-05,6.009800000583709e-05,81,113,7.748300004095654e-05,6.527800002231743e-05,6.789200000412166e-05,0.00012781199995970383,9.295199998859971e-05,8.828699998275624e-05
54,10974,"(135, 8425)",9.099000004653135e-05,5.745400000023437e-05,88,113,7.257599997956277e-05,6.277199997839489e-05,6.357999995998398e-05,0.00010625200002323254,0.00012571700000307828,0.00011674500001390697
55,11040,"(12211, 11888)",0.00010889699996141644,6.44910000460186e-05,120,240,8.426299996244779e-05,7.003299998586954e-05,6.943599998976424e-05,0.00016435699996009134,0.00010888499997463441,9.784899998521723e-05
56,12818,"(3784, 7833)",9.506499998224172e-05,6.243299998232033e-05,68,74,7.503900002348018e-05,6.38570000432992e-05,6.45329999997557e-05,0.0001053619999993316,0.00011424699999906807,0.00014126000002079309
57,2401,"(10217, 462)",9.536799996112677e-05,5.7724000043890555e-05,81,95,8.561800001416486e-05,9.606399999029236e-05,9.830900000906695e-05,0.00011339400003862465,0.00012655400001904127,0.00011479799997005102
58,14967,"(2079, 9163)",9.712299998909657e-05,6.282900000087466e-05,92,155,7.617699998263561e-05,6.573699999989913e-05,6.69930000185559e-05,0.00011018399999329631,0.0001163320000046042,0.00010865999996667597
59,12702,"(2584, 12989)",0.00012668300001905664,5.7473000026675436e-05,79,115,7.260800003905388e-05,6.18619999954717e-05,6.2875000025997e-05,0.00010385600000972772,0.00010828800003537253,9.521300000869815e-05
60,11013,"(8035, 12050)",0.00017989899998838155,5.467400001180067e-05,61,52,6.69949999974051e-05,5.814200000031633e-05,5.9832000033566146e-05,9.872499998664352e-05,9.992700000793775e-05,9.388699999135497e-05
61,534,"(10957, 15271)",0.00012992099999564743,6.613299996161004e-05,150,384,7.896400001072834e-05,7.18480000045929e-05,7.007800002156728e-05,0.00012197099999866623,0.00010871500001030654,0.00010214599996061224
62,6195,"(6859, 14315)",9.369399998604422e-05,0.00011032300000124451,64,53,8.604200002082507e-05,7.541799999444265e-05,6.64670000105616e-05,0.00010887900003808682,0.00013059700000894736,0.00011006599999063837
63,2888,"(15908, 1268)",0.00011331600001085462,6.342200003928156e-05,91,116,8.220399996616834e-05,6.691499999078587e-05,6.839299999228388e-05,0.00011208600000145452,0.00010339900001099522,9.806899998920926e-05
64,11911,"(2419, 1807)",0.00017421199999034798,5.7941000022765365e-05,71,73,7.74419999629572e-05,6.260200001406702e-05,6.664799997224691e-05,0.00010617399999546251,0.00010350600001629573,9.869699999853765e-05
65,420,"(3537, 3303)",0.00011488299998063667,5.66500000331871e-05,63,53,7.508700002745172e-05,6.782299999485986e-05,6.969799994749337e-05,0.00010449500001641354,0.0001003699999841956,0.00010985300002630538
66,11531,"(15519, 12804)",0.00010457000001906636,6.107000001520646e-05,83,115,9.715599998116886e-05,7.556399998520646e-05,8.650500001294859e-05,0.00015007799999011695,0.00010209000004124391,9.638799997446768e-05
67,7508,"(6453, 343)",9.915200001842095e-05,9.905699999990247e-05,92,152,9.177499998713756e-05,7.594800001697877e-05,7.696099999066064e-05,0.0001344819999644642,0.00011063900001317961,0.00010439099997938683
68,13294,"(6673, 11369)",9.272100004409367e-05,6.973199998583368e-05,81,95,0.00011977899998782959,7.406500003526162e-05,6.92499999672691e-05,0.00011656999998876927,0.00010280599997258832,9.820799999715746e-05
69,16417,"(5002, 4235)",0.0001067700000021432,6.790799994860208e-05,132,304,8.275700002968733e-05,7.114700002830432e-05,7.118499996749961e-05,0.0001223470000013549,0.0001058929999544489,0.00010329700000966113
70,1957,"(5369, 9915)",0.00010713799997574824,6.407299997590599e-05,104,191,7.799400003705159e-05,6.726599997364247e-05,6.841300000814954e-05,0.00011365699998577838,0.00010085100001333558,9.560199998759344e-05
71,9427,"(8511, 2063)",9.852999994564016e-05,5.9058000033473945e-05,91,154,7.19880000019657e-05,6.359799999700044e-05,6.471400001828442e-05,0.00010835900002348353,0.0001017670000464932,9.737199997061907e-05
72,16212,"(14643, 597)",7.192800001121213e-05,5.610099998420992e-05,65,53,9.879600003159794e-05,8.002399999895715e-05,6.894599999895945e-05,0.00010610699996504991,9.950900005151198e-05,9.356600003229687e-05
73,7647,"(2947, 8994)",9.156699996992756e-05,6.15440000046874e-05,78,115,7.557400004998271e-05,0.0001307460000248284,7.639900002232025e-05,0.00011755899998888708,9.979399999338057e-05,9.222900001759626e-05
74,15853,"(16429, 2530)",0.00010091900003317278,6.662800001322466e-05,95,156,7.998200004522005e-05,6.81550000081188e-05,6.915699998444325e-05,0.00011313999999629232,0.00011080699999865828,0.00010575800001788593
75,5819,"(8579, 13467)",0.0001142609999646993,6.563400000914044e-05,114,239,8.129999997663617e-05,7.006099997397541e-05,7.066699998858894e-05,0.00012371399998301058,0.00010049599995909375,9.57230000153686e-05
76,5038,"(15175, 11095)",0.00010965600000645281,6.0847999975521816e-05,77,112,7.31800000153271e-05,6.338399998639943e-05,6.4424000015606e-05,0.00010918699996409487,0.00010341099999777725,9.939699998540164e-05
77,14565,"(4024, 4139)",0.00010301300000037372,5.9422999981961766e-05,84,135,7.380899995723667e-05,6.385500000760658e-05,8.154699997930948e-05,0.00010452800000848583,0.0001023700000359895,9.745800002747274e-05
78,12405,"(15223, 4517)",0.00015169699997841235,5.517700003565551e-05,74,74,7.060799998725997e-05,5.950899998197201e-05,6.475399999317233e-05,0.0001015980000147465,0.00010203099998307152,9.347200000320299e-05
79,15115,"(10137, 10657)",0.00012930299999425188,5.457299999989118e-05,71,74,6.827700002531856e-05,5.938399999649846e-05,6.048699998473239e-05,9.993600002644598e-05,0.0001400749999902473,0.00019333799997411916
80,1446,"(16319, 9464)",0.00010958899997604021,5.689899995786618e-05,80,111,7.059899996875174e-05,6.1544999994112e-05,6.311900000355308e-05,0.00010392999996611252,0.00011201699999219272,0.00010049299999081995
81,332,"(5545, 6502)",0.00010393599995950353,5.856000001358552e-05,94,137,7.372799996119284e-05,6.322500001942899e-05,6.486499995617123e-05,0.00010691900001802424,0.00011054499998408573,0.00010390099998858204
82,4414,"(7347, 14901)",0.00012739200002442885,6.639599996560719e-05,131,425,8.209800000713585e-05,7.215800002313699e-05,7.295700004306127e-05,0.00012430300000687566,0.00010429600001771178,9.83230000315416e-05
83,14953,"(10308, 2357)",8.668399999578469e-05,5.743799999891053e-05,68,72,7.144599999264756e-05,6.076599999005339e-05,6.09839999583528e-05,0.00018348300000070594,0.00011846299997841925,0.00011293500000419954
84,6330,"(3065, 15440)",9.296900003619157e-05,7.896300002130374e-05,96,157,8.106999996471131e-05,6.939000002148532e-05,6.92099999923812e-05,0.00011448600002950116,0.00010643000001664404,9.977899998148132e-05
85,688,"(8128, 14598)",8.629499996004597e-05,5.64449999842509e-05,80,95,7.057300001633848e-05,6.109899999273694e-05,6.231200001138859e-05,0.00010184000001345339,0.00010973799999192124,0.00010380300000178977
86,8400,"(12947, 7688)",0.0005972250000354506,6.222400003252915e-05,106,198,7.747500001187291e-05,6.62190000184637e-05,6.680500001721157e-05,0.000123083999994833,0.00010766799999828436,0.0001062779999756458
87,11535,"(12755, 10140)",0.0001342339999723663,5.810400000427762e-05,95,155,7.085499998993328e-05,6.250699999554854e-05,6.338299999697483e-05,0.00010583099998484613,0.00011013400001047557,0.00010400100001106694
88,8910,"(10562, 9210)",0.0001978550000103496,5.241600001681945e-05,62,52,6.557100005011307e-05,5.604200003972437e-05,5.761600004916545e-05,9.370200001512785e-05,0.00011268999998037543,0.00012069100000644539
89,14230,"(637, 3523)",0.00016715600003180953,5.509699997219286e-05,81,115,7.014800002025368e-05,5.970699999124918e-05,6.069299996624977e-05,9.955100000524908e-05,0.00011272000000417393,0.00010681399999157293
90,13774,"(14393, 4174)",0.0001221030000237988,5.939799996212969e-05,98,177,7.335399999419678e-05,6.314699999165896e-05,6.465399997068744e-05,0.00011115799998151488,0.00010566399998879206,9.817000000111875e-05
91,11,"(4548, 15743)",0.0001247419999685917,5.415599997604659e-05,63,53,0.00011124799999606694,7.819600000402716e-05,6.517100001701692e-05,0.00010715500002334011,0.0001000100000396742,9.58310000100937e-05
92,3559,"(14046, 4546)",0.00011941500002876637,6.927200001882738e-05,115,218,9.820599996146484e-05,8.196999999654508e-05,7.813100000930717e-05,0.00013909599999806233,0.00011993099997198442,0.00011484100002689956
93,2051,"(15108, 3977)",0.00012458699995931966,5.610300001990254e-05,63,53,6.926699995801755e-05,5.9160999967389216e-05,6.268499998896004e-05,0.00011703199999146818,0.00010843199999044373,0.0001011000000517015
94,11634,"(8983, 4590)",0.00010092299999087118,6.050499996490544e-05,94,155,7.604199998922923e-05,6.457799997861002e-05,6.670400000530208e-05,0.00010973399997737943,0.00010660399999551373,0.00010176799997907438
95,2909,"(8122, 2789)",0.00015611399999215791,6.436199998915981e-05,129,298,7.971299999098846e-05,6.919700001617457e-05,8.567600002606923e-05,0.0001161259999662434,0.00010971500000778178,0.00010433699998202428
96,2716,"(3248, 9225)",0.00011294099999759055,6.105699998215641e-05,127,297,7.785999997622639e-05,6.701000000930435e-05,6.803299999091905e-05,0.00011554200000318815,0.00010296499999640218,9.766600004468273e-05
97,14195,"(11071, 4485)",9.527800000341813e-05,5.6016000030467694e-05,91,156,7.109900002433278e-05,6.460999998125772e-05,0.00012251300000798437,0.00011982299997725931,0.00010157200000548983,9.731599999440732e-05
98,280,"(10350, 14320)",9.640399997579152e-05,6.193800004439254e-05,90,115,7.558499999049673e-05,6.331299999828843e-05,8.099400002947732e-05,0.00010620000000471919,0.00011660600000595878,0.00011265000000548753
99,12368,"(9688, 2588)",9.144500000957123e-05,5.3793000006407965e-05,64,53,6.777600003715634e-05,5.882800002154909e-05,5.931399999781206e-05,9.652500000356667e-05,0.00011363999999502994,0.00010687899998629291
100,2407,"(8092, 1769)",0.00013814499999398322,0.00020784899999171103,201,633,0.00012341300003981814,8.835300002374424e-05,8.168899995553147e-05,0.00013924000000997694,0.00010512199997947391,9.747500001822118e-05
101,13245,"(12888, 12155)",9.98410000079275e-05,6.053800001382115e-05,96,176,7.658399999854737e-05,6.389399999306988e-05,6.568700001707839e-05,0.00010731699995858435,0.00010059499999215404,9.507999999414096e-05
102,954,"(13936, 1143)",0.00010334099999909085,5.524899995634769e-05,70,74,6.8502000033277e-05,5.856000001358552e-05,6.022600001642786e-05,0.00010020700000268334,9.899200000518249e-05,9.479400000600435e-05
103,10566,"(8582, 7320)",0.00011716599999544997,6.496399998923152e-05,161,428,7.99700000015946e-05,6.94170000201666e-05,6.981400002814553e-05,0.00012092499997606865,0.00010199899998042383,9.652999995068967e-05
104,8602,"(9632, 15129)",8.17989999859492e-05,6.127699998614844e-05,100,198,7.300499999018939e-05,6.36529999837876e-05,6.461800001034135e-05,0.00010721800003921089,0.0001091259999839167,0.00010327699999379547
105,15483,"(7055, 14975)",7.347299998627932e-05,5.8518000003005e-05,109,199,7.352799997306647e-05,6.347300001152689e-05,6.460999998125772e-05,0.00010742400002072827,9.710000000495711e-05,9.194699998715805e-05
106,1082,"(2335, 6879)",8.574500003533103e-05,5.378399998789973e-05,74,73,6.724799999346942e-05,8.798400000387119e-05,8.796999998139654e-05,0.00010716600002069754,0.00010210900001084156,9.768199998916316e-05
107,10971,"(7139, 5520)",0.0001358480000135387,0.00010998400000516995,334,995,9.2913999992561e-05,8.017300001483818e-05,7.956499996453203e-05,0.00014959399999270317,0.00010275400001091839,9.729399999969246e-05
108,13568,"(9849, 4306)",0.0001022689999672366,5.7052000045132445e-05,71,74,6.844099999625541e-05,6.069399995567437e-05,6.151100001261511e-05,9.872600003291154e-05,0.0001034640000057152,9.704599995075114e-05
109,11415,"(10275, 6045)",0.00010393700000577155,5.533900002774317e-05,79,115,6.860000002006927e-05,5.880300000171701e-05,5.9594999981982255e-05,0.00010070799999084556,0.00010076699999217453,9.509100004834181e-05
