,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715,"(10832, 9230)",4.201100000500446e-05,0.00010348400007842429,675,675,0.00016861400001744187,9.448200000861107e-05,8.344699995177507e-05,0.0001615160000483229,0.00019773399992573104,0.00011564600004021486
1,8771,"(15773, 8337)",2.6950999995278835e-05,6.0415999996621395e-05,169,169,0.0001468210000439285,7.287899995844782e-05,6.464299997333e-05,7.021499993697944e-05,0.00011944900006710668,9.253700000044773e-05
2,2856,"(15910, 12094)",2.37089999473028e-05,4.001500008143921e-05,261,261,0.00012542699994355644,4.819900004804367e-05,4.4023999976161576e-05,8.892099992863223e-05,0.00010581200001524849,8.540999999695487e-05
3,13344,"(12030, 5184)",2.7967999926659104e-05,6.320399995729531e-05,618,618,5.525899996428052e-05,4.415299997617694e-05,4.471700003705337e-05,5.115399994792824e-05,7.929100002002087e-05,7.090100007189903e-05
4,8734,"(14983, 16287)",2.3028999976304476e-05,2.5369000013597542e-05,216,216,4.9632000013843935e-05,3.270100000918319e-05,4.6521000058419304e-05,3.884799991737964e-05,8.959100000538456e-05,8.351399992534425e-05
5,3529,"(2127, 4354)",2.5632999950175872e-05,2.8202999942550377e-05,420,420,5.306500008828152e-05,8.094899999377958e-05,9.508999994523037e-05,0.00013682300004802528,7.881599992742849e-05,7.766399994579842e-05
6,1250,"(4727, 14250)",2.905300004840683e-05,3.7401999975372746e-05,738,738,9.588299997176364e-05,5.7121000054394244e-05,4.958199997417978e-05,9.962799992990767e-05,8.769999999458378e-05,8.527699992555426e-05
7,12423,"(1621, 11816)",2.191600003698113e-05,3.1247000038092665e-05,57,57,4.62750000451706e-05,3.403699997761578e-05,3.3984999959102424e-05,3.3137000059468846e-05,7.440100000621896e-05,7.196100000328443e-05
8,10885,"(12890, 16155)",2.1790999994664162e-05,2.301100005297485e-05,122,122,3.634800009422179e-05,2.8822999979638553e-05,3.20030000011684e-05,3.350600002249848e-05,7.173100004820299e-05,6.956900006116484e-05
9,11167,"(6912, 6854)",2.7474000034999335e-05,3.0035999998290208e-05,537,537,4.4927999965693743e-05,3.7015999964751245e-05,5.02850000430044e-05,4.9382000042896834e-05,9.091200001876132e-05,8.76020000077915e-05
